,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
220,455787566,69.5,English silk tweed tie,284,J.Crew,http://bim.shopstyle.com/pim/c6/10/c610b0fc92798fd4f21e8a4a5a4e5522_best.jpg,"Sometimes you want to wear a tie even when you don't have to. This one is made from an English silk that's woven with a tweed-like texture and flecks of color (it's great for the guy who wants something with more character than a solid tie but can't commit to a full-on pattern). Fun fact: It's hand-finished in NYC's Long Island City. <ul> <li>2 1/2"" at widest point.</li> <li>English silk.</li> <li>USA.</li> </ul>",J.Crew,_solid,_silk,False
238,464781327,190.0,Alexander McQueen Fleur-De-Lis Patterned Silk-Faille Tie,689,Alexander McQueen,http://bim.shopstyle.com/pim/e0/99/e0994804a570cf5c19cfb0e635969b9b_best.jpg,"Crafted in Italy from silk-faille, Alexander McQueen 's tie features a traditional fleur-de-lis pattern against a solid background. The bold teal and black palette evokes the label's subversive aesthetic. Shown here with a Charvet shirt . <ul> <li>Teal and black silk-faille tie</li> <li>Fleur-de-lys pattern, fully lined in logo-jacquard silk</li> <li>100% silk</li> <li>Made in Italy</li> </ul>",MR PORTER,_solid,_silk,False
384,455784460,69.5,English silk tweed tie in thin stripe,284,J.Crew,http://bim.shopstyle.com/pim/dc/92/dc9290528929b0834597f5a965f7307c_best.jpg,"Sometimes you want to wear a tie even when you don't have to. This one is made from an English silk that's woven with a tweed-like texture and flecks of color (it's great for the guy who wants something with more character than a solid tie but can't commit to a full-on pattern). Fun fact: It's hand-finished in NYC's Long Island City. <ul> <li>2 1/2"" at widest point.</li> <li>English silk.</li> <li>USA.</li> </ul>",J.Crew,_solid,_silk,False
565,438995091,49.5,DKNY Solid Bow Tie,156,DKNY,http://bim.shopstyle.com/pim/dd/49/dd49e03f1660687fce74ea82a6e421fe_best.jpg,Punctuate dapper evening looks with a silk bow tie from DKNY. <ul> <li>Silk</li> <li>Dry clean</li> <li>Imported</li> <li>DKNY solid silk bow tie</li> </ul>,Macy's,_solid,_silk,False
601,462512862,225.0,"Armani Collezioni Solid Satin Tie, Black",747,Armani Collezioni,http://bim.shopstyle.com/pim/55/c6/55c636d832a3f2ba89a9d44413de0424_best.jpg,<ul><li>Armani Collezioni solid satin tie.</li><li>Silk.</li><li>Made in Italy.</li></ul>,Neiman Marcus,_solid,unknown,False
604,462637316,225.0,"Armani Collezioni Solid Satin Knit Tie, Silver",747,Armani Collezioni,http://bim.shopstyle.com/pim/57/5d/575dc53784e85f6e341b1f476e89022f_best.jpg,<ul><li>Armani Collezioni solid silk tie.</li><li>Silk; dry clean.</li><li>Made in Italy.</li></ul>,Neiman Marcus,_solid,_silk,False
616,445608270,205.0,"Ermenegildo Zegna Textured Solid Tie, Purple",1139,Ermenegildo Zegna,http://bim.shopstyle.com/pim/f1/53/f15342b1f0e82ae3e4869bd484009a26_best.jpg,"<ul><li>Ermenegildo Zegna tie in textured, solid-color brocade.</li><li>3 1/2""W at widest.</li><li>Silk.</li><li>Made in Italy.</li></ul>",Neiman Marcus,_solid,unknown,False
702,465547035,115.0,"Boss Hugo Boss Wool Woven Tie, Purple",267,HUGO BOSS,http://bim.shopstyle.com/pim/c1/93/c193ffd8002ee05d98504e5dd2ccfe06_best.jpg,"<ul><li>Boss Hugo Boss solid woven straight tie.</li><li>2"" wide.</li><li>Wool, dry clean.</li><li>Made in Italy.</li></ul>",Neiman Marcus,_solid,unknown,False
703,465414108,230.0,"Brioni Solid Silk Satin Tie, Red",859,Brioni,http://bim.shopstyle.com/pim/d8/6e/d86ee21657a3a8ade7bd44de6b95fbc2_best.jpg,"<ul><li>Brioni solid silk satin tie.</li><li>Approx. 3.5"" at widest.</li><li>Dry clean.</li><li>Handmade in Italy.</li></ul>",Neiman Marcus,_solid,_silk,False
835,453795670,245.0,Saint Laurent Flat Bow Tie,30163,Saint Laurent,http://bim.shopstyle.com/pim/76/00/7600593a01d8f98e0bbce46cc43430dc_best.jpg,"Saint Laurent solid black silk faille flat bow tie. 1.5"" width, approximately. Adjustable band, hook-and-bar closure. Available in Black. Silk. Dry clean. Made in Italy.",Barneys New York,_solid,_silk,False
